"","Release_number","interview_id","State","Family_comp_change","Year","head_age","head_sex","wife_age","num_child","age_youngest_child","family_identifier","head_marital_status","hd_employ_status","hd_occ","hd_ind","hd_hrs_work_per_week","hd_wtr_unemployed","wtr_wf","wf_occ","wf_ind","wf_wtr_unemployed","hd_housework_hrs","wf_housework_hrs","hd_wage","wf_wage","hd_health","hd_weight","hd_height","wf_health","wf_weight","wf_height","wf_race","wf_wtr_hs","wf_wtr_college","wf_highest_yr_complete","wf_religion","hd_race","hd_wtr_hs","hd_wtr_college","hd_highest_yr_complete","hd_religion","hd_change_in_marital_status","hd_edu","wf_edu","hd_adj_income"
"12084",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12085",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12086",6,5575,4,0,2001,35,1,33,3,2,3135,1,1,751,69,0,5,1,0,0,0,14,0,38000,0,1,205,7,2,210,5,1,0,0,0,1,1,0,0,0,1,1,7,9,24409.273563247
"12087",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12088",6,6200,4,0,2001,30,1,33,1,5,3136,1,1,602,227,0,5,1,0,0,0,10,0,23000,1625,1,170,8,2,120,0,5,0,0,0,1,5,9,1,1,1,1,13,12,14774.0339988074
"12089",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12090",6,2817,4,1,2001,48,1,33,4,2,3137,1,1,912,669,0,5,1,942,857,5,6,3,22560,5500,3,200,9,4,180,0,5,0,0,0,1,5,0,0,0,1,1,0,6,14491.4003049172
"12091",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12092",6,7387,4,4,2001,23,1,28,1,2,3137,2,1,915,669,40,5,1,690,398,5,28,0,10000,10000,3,165,98,4,180,98,5,0,0,0,1,5,0,0,0,1,5,7,6,6423.49304295974
"12093",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12094",6,411,4,1,2001,54,1,50,0,0,3138,1,1,692,247,0,5,1,999,999,8,15,15,9999999,9999999,3,999,99,3,999,99,4,9,1,1,10,4,9,1,1,10,1,13,13,6423492.40061044
"12095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12096",6,68,4,1,2001,59,1,0,0,0,3139,4,1,202,359,0,5,2,0,0,0,0,14,80000,0,2,140,8,0,0,0,0,0,0,0,0,4,0,0,0,10,2,99,0,51387.9443436779
"12097",6,937,4,0,2001,49,1,45,3,7,3140,1,1,245,247,0,5,1,85,838,5,42,2,95000,4500,1,150,6,2,110,0,5,9,1,1,1,5,9,1,5,1,1,17,13,61023.1839081175
"12098",6,938,4,1,2001,50,1,48,1,16,3141,1,1,374,419,0,5,1,394,717,5,21,14,40000,22000,3,140,5,3,110,5,4,0,0,0,1,4,9,1,4,1,1,16,10,25693.972171839
"12099",6,3932,4,5,2001,24,1,0,0,0,3141,2,1,3,748,0,5,2,0,0,0,0,7,39600,0,1,150,7,0,0,0,0,0,0,0,0,4,1,1,4,0,8,16,0,25437.0324501206
"12100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12102",6,1060,4,0,2001,60,2,0,0,0,3142,4,4,0,0,0,0,3,0,0,0,0,14,0,0,5,128,5,0,0,0,0,0,0,0,0,7,0,0,0,10,2,12,0,0
"12103",6,6791,4,0,2001,30,1,0,0,0,3142,2,1,14,227,60,5,2,0,0,0,0,10,35000,0,1,146,11,0,0,0,0,0,0,0,0,7,1,1,3,0,2,15,0,22482.2256503591
"12104",6,6991,4,0,2001,61,1,0,1,13,3143,3,1,755,809,0,5,2,0,0,0,0,21,9999998,0,4,160,8,0,0,0,0,0,0,0,0,5,0,0,0,1,2,0,0,6423491.75826113
"12105",6,6352,4,0,2001,25,1,23,1,3,3143,2,1,755,19,0,5,1,0,0,0,40,2,14900,0,2,165,3,3,152,0,5,3,5,0,1,5,0,0,0,1,1,10,10,9571.00463401001
