"","Release_number","interview_id","State","Year","Family_comp_change","head_age","head_sex","wife_age","num_child","age_youngest_child","family_identifier","head_marital_status","hd_employ_status","hd_occ","hd_ind","hd_hrs_work_per_week","hd_wtr_unemployed","wtr_wf","wf_occ","wf_ind","wf_wtr_unemployed","hd_housework_hrs","wf_housework_hrs","hd_wage","wf_wage","hd_health","hd_weight","hd_height","wf_health","wf_weight","wf_height","wf_race","wf_wtr_hs","wf_wtr_college","wf_highest_yr_complete","wf_religion","hd_race","hd_wtr_hs","hd_wtr_college","hd_highest_yr_complete","hd_religion","hd_change_in_marital_status","hd_edu","wf_edu","hd_adj_income"
"4816",8,1834,24,1999,0,47,1,35,1,4,1236,1,1,284,639,0,5,1,425,689,5,20,1,0,3400,1,195,11,3,162,5,1,1,1,1,8,1,1,1,1,8,1,13,13,0
"4817",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4818",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4819",8,1672,24,1999,0,42,2,0,1,13,1236,4,1,144,857,0,5,3,0,0,0,0,15,29145,0,1,118,6,0,0,0,0,0,0,0,0,1,1,1,4,8,2,16,0,19299.971319693
"4820",8,357,24,1999,0,66,1,64,0,0,1238,1,5,0,0,0,0,1,0,0,0,21,0,0,0,5,230,2,3,135,6,1,3,5,0,8,1,1,5,0,8,1,12,99,0
"4821",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4822",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4823",8,3531,48,1999,0,51,1,49,2,3,1241,1,1,481,269,40,5,1,245,628,5,14,2,32000,19000,3,190,0,3,130,3,1,1,5,0,8,1,1,5,0,8,1,12,12,21190.5672406991
"4824",8,5807,48,1999,0,31,1,29,0,0,1241,1,1,440,667,0,5,1,441,197,5,8,8,0,30000,2,180,1,2,115,11,1,1,5,0,1,1,3,5,0,1,1,10,12,0
"4825",8,5951,48,1999,3,28,2,0,0,0,1241,2,1,643,329,40,5,3,0,0,0,0,4,9999998,0,1,140,4,0,0,0,0,0,0,0,0,1,1,1,1,0,3,13,0,6622050.93830802
"4826",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4827",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4828",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4829",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4830",8,529,13,1999,2,62,1,56,0,0,1242,1,4,0,0,0,0,1,361,907,5,10,20,0,40000,2,185,0,3,130,4,1,1,5,0,8,1,1,5,0,1,5,12,12,0
"4831",8,791,21,1999,0,43,1,44,2,14,1242,1,1,245,157,55,5,1,0,0,0,15,2,138000,0,1,245,2,1,150,8,1,1,1,4,8,1,1,1,4,8,1,16,16,91384.3212255149
"4832",8,2029,12,1999,0,40,1,39,2,8,1242,1,1,245,448,0,5,1,1,539,5,18,5,110653,10000,2,260,2,1,150,8,1,1,1,4,8,1,1,1,4,8,1,16,16,73274.9949026587
"4833",8,2307,10,1999,0,36,1,36,3,5,1242,1,1,12,888,0,5,1,0,0,0,20,10,80000,0,2,240,4,2,140,7,7,1,1,4,1,1,1,1,4,1,1,16,16,52976.4181017478
"4834",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4836",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4838",8,2527,13,1999,1,42,1,35,3,1,1242,1,1,75,838,0,5,1,915,669,5,12,8,55000,0,1,190,0,1,140,8,1,1,1,3,1,1,1,1,2,1,1,14,15,36421.2874449516
"4839",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4840",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
