"","ID","Release_number","interview_id","State","Year","Family_comp_change","head_age","head_sex","wife_age","num_child","age_youngest_child","family_identifier","head_marital_status","hd_employ_status","hd_occ","hd_ind","hd_hrs_work_per_week","hd_wtr_unemployed","wtr_wf","wf_occ","wf_ind","wf_wtr_unemployed","hd_housework_hrs","wf_housework_hrs","hd_wage","wf_wage","hd_health","hd_weight","hd_height","wf_health","wf_weight","wf_height","wf_race","wf_wtr_hs","wf_wtr_college","wf_highest_yr_complete","wf_religion","hd_race","hd_wtr_hs","hd_wtr_college","hd_highest_yr_complete","hd_religion","hd_change_in_marital_status","hd_edu","wf_edu"
"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,8,3,41,1999,2,76,1,0,0,0,4,3,4,0,0,0,0,2,0,0,0,0,0,0,0,5,215,10,0,0,0,0,0,0,0,0,1,3,5,0,8,4,5,0
"3",3,8,2,41,1999,0,47,1,45,1,8,4,1,1,310,628,0,5,1,0,0,0,30,0,20800,1360,1,180,6,2,200,6,1,3,5,0,8,1,3,5,0,0,1,9,10
"4",4,8,6129,41,1999,3,45,2,0,0,0,4,4,1,230,669,0,5,3,0,0,0,0,5,0,0,4,115,4,0,0,0,0,0,0,0,0,1,1,5,0,8,3,12,0
"5",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,8,6944,41,1999,0,39,2,0,1,12,4,4,1,361,907,0,5,3,0,0,0,0,25,30000,0,2,150,8,0,0,0,0,0,0,0,0,1,1,5,0,8,2,12,0
"7",7,8,3818,41,1999,4,34,1,32,2,12,4,1,1,751,69,0,5,1,0,0,0,15,3,32000,9600,3,165,11,3,160,11,1,3,5,0,0,1,3,5,0,0,5,11,9
"8",8,8,1702,41,1999,0,25,2,0,2,2,4,4,6,0,0,0,0,3,0,0,0,0,30,0,0,1,130,3,0,0,0,0,0,0,0,0,1,1,5,0,8,2,12,0
"9",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,8,5478,15,1999,0,23,1,0,0,0,4,2,1,172,139,40,1,2,0,0,0,0,2,6000,0,2,140,3,0,0,0,0,0,0,0,0,1,3,5,0,8,5,10,0
"11",11,8,2471,41,1999,0,22,1,0,0,0,4,2,1,751,67,0,1,2,0,0,0,0,3,12000,0,2,185,1,0,0,0,0,0,0,0,0,1,1,1,1,8,2,13,0
"12",12,8,6965,41,1999,3,20,2,0,1,3,4,5,1,915,669,0,5,3,0,0,0,0,20,20000,0,1,108,4,0,0,0,0,0,0,0,0,1,1,5,0,8,3,12,0
"13",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,8,2122,41,1999,2,50,1,0,0,0,4,4,1,600,917,0,5,2,0,0,0,0,10,50000,0,2,181,0,0,0,0,0,0,0,0,0,1,1,1,4,8,3,16,0
"17",17,8,2560,41,1999,0,39,1,0,0,0,4,4,1,780,407,0,5,2,0,0,0,0,4,36000,0,2,185,0,0,0,0,0,0,0,0,0,1,1,5,0,8,2,12,0
"18",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,8,6906,41,1999,0,55,1,43,1,11,4,1,4,0,0,0,0,1,0,0,0,12,0,60000,0,2,170,7,3,145,6,1,2,1,0,8,1,1,1,2,8,1,14,10
"22",22,8,4920,15,1999,0,41,1,41,0,0,4,4,1,5,227,0,5,1,310,857,5,999,10,65000,16000,2,190,6,3,998,1,1,1,5,0,8,1,1,1,4,8,1,16,12
"23",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
