"","Release_number","interview_id","State","Family_comp_change","family_identifier","Year","head_age","head_sex","wife_age","num_child","age_youngest_child","head_marital_status","hd_employ_status","hd_occ","hd_ind","hd_hrs_work_per_week","hd_wtr_unemployed","wtr_wf","wf_occ","wf_ind","wf_wtr_unemployed","hd_housework_hrs","wf_housework_hrs","hd_wage","wf_wage","hd_health","hd_weight","hd_height","wf_health","wf_weight","wf_height","wf_race","wf_wtr_hs","wf_wtr_college","wf_highest_yr_complete","wf_religion","hd_race","hd_wtr_hs","hd_wtr_college","hd_highest_yr_complete","hd_religion","hd_edu","wf_edu","hd_change_in_marital_status","hd_adj_income"
"22120",8,3788,4,1,6832,2003,31,1,0,1,2,2,1,623,77,60,5,2,0,0,0,0,1,15300,0,4,310,1,0,0,0,0,0,0,0,0,2,3,1,1,8,13,0,2,9384.12042779379
"22121",8,3451,4,0,6832,2003,30,2,0,5,2,2,6,0,0,0,1,3,0,0,0,0,6,0,0,3,268,4,0,0,0,0,0,0,0,0,2,3,5,0,8,10,0,2,0
"22122",8,1603,4,1,6832,2003,27,2,0,3,1,4,22,962,629,40,5,3,0,0,0,0,5,24000,0,2,200,7,0,0,0,0,0,0,0,0,2,1,1,1,8,13,0,2,14720.1889063432
"22123",8,6296,4,5,6832,2003,18,2,0,1,1,2,6,460,929,0,5,3,0,0,0,0,20,0,0,3,165,3,0,0,0,0,0,0,0,0,2,3,5,0,8,11,0,8,0
"22124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22142",8,2290,4,0,6836,2003,69,2,0,0,0,3,4,0,0,0,5,3,0,0,0,0,10,0,0,4,179,4,0,0,0,0,0,0,0,0,2,3,5,0,8,10,0,2,0
"22143",8,2276,4,8,6836,2003,40,1,42,0,0,1,3,0,0,0,1,1,964,617,5,999,72,0,9999999,3,177,8,9,999,0,9,0,0,0,99,2,1,1,2,8,14,99,8,0
"22144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22145",8,1566,4,0,6836,2003,35,1,35,2,3,1,1,920,618,45,5,1,541,618,5,15,7,71000,75000,1,240,5,3,240,3,2,1,1,2,10,2,1,1,2,10,14,14,1,43547.2255145986
"22146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22149",8,7392,39,5,6838,2003,65,1,0,0,0,3,4,0,0,0,5,2,0,0,0,0,2,0,0,1,200,10,0,0,0,0,0,0,0,0,2,3,5,0,8,10,0,8,0
"22150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22151",8,7659,39,1,6838,2003,39,1,0,0,0,2,1,626,77,45,5,2,0,0,0,0,10,24000,0,3,230,11,0,0,0,0,0,0,0,0,2,1,5,0,8,12,0,2,14720.1889063432
"22152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22153",8,2135,39,1,6838,2003,35,1,34,2,1,1,3,913,777,40,5,1,472,479,5,5,2,9999998,6000,2,180,9,3,200,7,2,1,1,1,8,2,1,5,0,8,12,13,1,6133410.81762726
"22154",8,2965,39,0,6838,2003,33,1,33,0,0,1,1,962,118,41,5,1,775,357,1,6,2,26000,4000,3,165,0,3,130,6,2,1,1,3,8,2,1,1,1,8,13,15,1,15946.8713152051
"22155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22156",8,885,39,0,6839,2003,78,2,0,0,0,3,6,0,0,0,5,3,0,0,0,0,30,0,0,1,326,0,0,0,0,0,0,0,0,0,2,1,5,0,8,12,0,2,0
"22157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22158",8,1812,39,0,6839,2003,48,2,0,0,0,4,7,0,0,0,5,3,0,0,0,0,20,0,0,3,230,6,0,0,0,0,0,0,0,0,2,1,5,0,8,12,0,2,0
"22159",8,1496,39,0,6839,2003,50,2,0,0,0,2,6,0,0,0,5,3,0,0,0,0,7,0,0,3,250,6,0,0,0,0,0,0,0,0,2,1,5,0,8,12,0,2,0
"22160",8,927,39,1,6839,2003,46,1,48,0,0,1,1,633,77,48,5,1,570,917,5,8,12,18000,43000,4,210,11,3,142,8,2,1,1,2,8,2,1,5,0,8,12,14,1,11040.1416797574
"22161",8,1017,39,1,6839,2003,45,2,0,1,13,2,1,402,827,40,5,3,0,0,0,0,3,10000,0,3,157,2,0,0,0,0,0,0,0,0,2,1,5,0,8,12,0,2,6133.41204430967
"22162",8,1713,39,0,6839,2003,43,1,43,1,14,1,3,633,77,40,5,1,524,538,5,4,5,9999998,8000,3,220,5,2,210,9,2,1,1,1,0,2,1,5,0,0,12,13,1,6133410.81762726
