"","ID","Release_number","interview_id","State","Family_comp_change","family_identifier","Year","head_age","head_sex","wife_age","num_child","age_youngest_child","head_marital_status","life_satisfaction","hd_employ_status","hd_occ","hd_ind","hd_hrs_work_per_week","hd_wtr_unemployed","wtr_wf","wf_occ","wf_ind","wf_wtr_unemployed","hd_housework_hrs","wf_housework_hrs","hd_wage","wf_wage","hd_health","hd_weight","hd_height","wf_health","wf_weight","wf_height","wf_race","wf_wtr_hs","wf_wtr_college","wf_highest_yr_complete","wf_religion","hd_race","hd_wtr_hs","hd_wtr_college","hd_highest_yr_complete","hd_religion","hd_change_in_marital_status","hd_edu","wf_edu"
"3910",3910,3,6924,35,3,1048,2013,32,2,0,4,5,4,3,3,880,109,0,1,3,0,0,0,0,30,9999998,0,4,138,1,0,0,0,0,0,0,0,0,3,3,5,0,8,10,0,3
"3911",3911,3,5540,35,8,1048,2013,30,2,0,4,3,4,3,1,472,497,0,1,3,0,0,0,0,12,3000,0,3,135,11,0,0,0,0,0,0,0,0,1,3,5,0,8,11,0,2
"3912",3912,3,4047,35,3,1048,2013,23,2,0,2,1,2,2,3,0,0,0,5,3,0,0,0,0,20,0,0,1,120,1,0,0,0,0,0,0,0,0,1,3,5,0,0,9,0,3
"3913",3913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3914",3914,3,6128,35,1,1048,2013,42,1,47,0,0,1,2,1,774,287,0,5,1,511,538,5,10,1,38000,27000,3,190,10,3,145,0,1,2,5,0,99,1,3,5,0,99,9,11,1
"3915",3915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3916",3916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3917",3917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3918",3918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3919",3919,3,3241,4,1,1048,2013,64,1,61,1,16,1,3,1,626,77,0,5,1,0,0,5,16,2,9999998,0,2,189,8,3,270,9,1,1,5,0,0,1,1,1,0,0,12,12,1
"3920",3920,3,4370,17,0,1048,2013,52,1,48,1,8,1,2,1,5,467,0,5,1,350,827,5,42,42,0,37708,3,230,1,4,90,10,1,2,5,0,8,1,1,5,0,8,12,9,1
"3921",3921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3922",3922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
