"","ID","Release_number","interview_id","State","Family_comp_change","family_identifier","Year","head_age","head_sex","wife_age","num_child","age_youngest_child","head_marital_status","life_satisfaction","hd_employ_status","hd_occ","hd_ind","hd_hrs_work_per_week","hd_wtr_unemployed","wtr_wf","wf_occ","wf_ind","wf_wtr_unemployed","hd_housework_hrs","wf_housework_hrs","hd_wage","wf_wage","hd_health","hd_weight","hd_height","wf_health","wf_weight","wf_height","wf_race","wf_wtr_hs","wf_wtr_college","wf_highest_yr_complete","wf_religion","hd_race","hd_wtr_hs","hd_wtr_college","hd_highest_yr_complete","hd_religion","hd_change_in_marital_status","hd_edu","wf_edu"
"4163",4163,3,7620,45,1,1093,2013,51,1,49,0,0,1,3,1,43,957,0,1,1,476,558,5,50,10,140000,11000,4,190,9,2,120,4,1,1,5,0,8,1,1,1,5,8,17,12,1
"4164",4164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4165",4165,3,6077,45,0,1093,2013,28,1,25,0,0,2,2,1,12,759,0,5,1,111,677,5,1,2,26000,35050,1,200,3,2,115,3,1,1,1,4,8,1,1,1,4,8,16,16,1
"4166",4166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4167",4167,3,5110,3,0,1094,2013,70,2,0,0,0,3,1,4,0,0,0,5,3,0,0,0,0,20,0,0,3,155,3,0,0,0,0,0,0,0,0,1,1,5,0,8,12,0,2
"4168",4168,3,647,17,0,1094,2013,45,1,36,3,6,1,1,1,980,967,0,5,1,0,0,5,20,5,80000,0,2,180,8,3,150,3,1,1,5,0,10,1,1,1,4,8,16,12,1
"4169",4169,3,4874,3,1,1094,2013,43,1,39,1,1,1,2,1,733,128,0,5,1,570,49,5,15,10,77000,32000,3,250,7,3,998,7,1,1,5,0,8,1,1,5,0,1,12,12,1
"4170",4170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4171",4171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4172",4172,3,5636,3,0,1095,2013,63,1,67,0,0,1,2,1,71,739,0,5,1,0,0,5,10,5,120000,0,2,203,0,2,180,6,1,1,5,0,8,1,1,5,0,8,12,12,1
